Character,Chapter,Line
Barret,Kalm - Cloud's Story,"Hey Cloud. If we keep going, we'll never get to Kalm."
Tifa,Kalm - Cloud's Story,"Hey, Cloud. Wasn't Kalm right before this cavern?"
Red XIII,Kalm - Cloud's Story,...We won't get to Kalm even if we go through these caverns.
Barret,Kalm - Cloud's Story,"Yo, wassup? Can't SOLDIER-man even lead the way?"
Aeris,Kalm - Cloud's Story,Cloud! Are you lost!?
Tifa,Kalm - Cloud's Story,Kalm should be closer to Midgar.
Red XIII,Kalm - Cloud's Story,"If we're planning to meet at Kalm, we should go back and look for it again."
Barret,Kalm - Cloud's Story,This is Kalm.
Aeris,Kalm - Cloud's Story,We've reached Kalm.
Tifa,Kalm - Cloud's Story,So this is Kalm?
Red XIII,Kalm - Cloud's Story,......looks like we've reached Kalm.
Barret,Kalm - Cloud's Story,"Yo, I'll be waitin' at the inn... Hurry up and get your butt over there!"
Aeris,Kalm - Cloud's Story,I wonder if everyone's there already. Let's hurry over to the inn!
Tifa,Kalm - Cloud's Story,Everyone's waiting at the inn. Let's go Cloud.
Red XIII,Kalm - Cloud's Story,We're supposed to meet at the inn. ......Shall we go?
Barret,Kalm - Cloud's Story,Get over here!
Aeris,Kalm - Cloud's Story,"Well then, I'll go on ahead."
Tifa,Kalm - Cloud's Story,Let's go Cloud.
Red XIII,Kalm - Cloud's Story,Let's go Cloud.
Redhead,Kalm - Cloud's Story,"Aw, c'mon! listen to me! Got anything interesting to say?......"
Old Man,Kalm - Cloud's Story,"Thanks to Shinra, Inc. developing Mako energy for us, everything's more convenient now.Maybe a little too convenient."
Black-haired Man,Kalm - Cloud's Story,"Tourists, huh?There are some things you should know that'll come in handy when you travel around the world......Want me to tell you what they are?"
Cloud,Kalm - Cloud's Story,- Tell me- I already know
Black-haired Man,Kalm - Cloud's Story,"Then let me explain how to use the world map.Well then, what do you want to know?"
Cloud,Kalm - Cloud's Story,- Changing the camera angle- Map indicators- Operating the buttons
Black-haired Man,Kalm - Cloud's Story,"First of all, press the [L2 button] on the controller to change the camera angle.There are 2 angles to choose from, select the one you like.You can then rotate the angles either way by pressing the [L1 button] and [R1 button].Try different angles until you find the one you like best. It makes the journey a lot more fun!Anything else you'd like to know?"
Black-haired Man,Kalm - Cloud's Story,"Press the [Start button] once to view the World Map.There is a large and small map. Learn when to use which, and you won't get lost as much.Push the [Start button] twice to change the size of the map, and once more to turn it off.Pretty easy, huh?Anything else you want to ask?"
Black-haired Man,Kalm - Cloud's Story,"You can ride things by pressing the [SELECT button] and get off by pressing the [cancel button]. This isn't so hard, either!Oh, yes, yes. You can't dash with the World Map on, so make sure not to press the [cancel button] unless you get off.Remember this because Chocobos will run away as soon as you get off them, so be careful.Anything else you want to ask?"
Black-haired Man,Kalm - Cloud's Story,"Once on the World Map you can access the menu to save your game anywhere. It's a good idea to save frequently!Well then, bon voyage!"
Black-haired Man,Kalm - Cloud's Story,"Is that so? Well, that's that. Have a nice trip."
Man in Blue,Kalm - Cloud's Story,I hear that the natural resources near the reactors are being sucked dry.We're better off with them bringing in the Mako energy.
Man,Kalm - Cloud's Story,"I heard President Shinra was killed. And his son Rufus, the new president, was badly hurt.Hey, I bet that's news to you?"
Cloud,Kalm - Cloud's Story,- Hey you're pretty clued!!- Don't care...
Man,Kalm - Cloud's Story,"Heh, heh, heh...... This is just between us. I heard it was that there Ava-whaddya call-ums that attacked the President Shinra and his son."
Man,Kalm - Cloud's Story,"Don't care? If you're going to travel, you'd best keep an eye on what Shinra's doing."
Man,Kalm - Cloud's Story,"Shinra is leading the world around by the nose, and you guys are just gonna sit back and take it?"
Woman,Kalm - Cloud's Story,"The famous floating city, Midgar... Just once I'd love to see it in person.South of this town past the Mythril Mine and far to the west is a Shinra harbor called Junon.They say there's a reactor and many tall buildings there. I hope to see it someday."
Woman,Kalm - Cloud's Story,"Thanks to Mako energy, life's pretty darn convenient. Thanks to Shinra.Don't you think?"
Cloud,Kalm - Cloud's Story,"- Yeah, maybe- You're full of it"
Woman,Kalm - Cloud's Story,See!? How would we get by without Mako energy?
Woman,Kalm - Cloud's Story,Hmmn. But I'd hate to think of what life'd be like without Mako energy.
Woman,Kalm - Cloud's Story,"Yeah, Mako energy's made our lives much easier. And it's all thanks to Shinra, Inc."
Girl Upstairs,Kalm - Cloud's Story,Mako energy's made things a lot more convenient......But seems like a lot of plants and animals have been disappearing at a rapid pace.I think the old life was better.Don't you think so?
Cloud,Kalm - Cloud's Story,"- Yeah, maybe- No way"
Girl Upstairs,Kalm - Cloud's Story,"Yeah, sure I'm right! You think so, don't you?"
Girl Upstairs,Kalm - Cloud's Story,That sounds just like what my mom says.
Girl Upstairs,Kalm - Cloud's Story,I thought things were better when I was able to play with animals......
Old Man,Kalm - Cloud's Story,"Did you say you came from Midgar?I used to live there, too. But I hear they got lots of troubles lately."
Woman,Kalm - Cloud's Story,There was a suspicious-looking man in a black cloak! He was carrying a wicked-looking sword.Why doesn't anyone believe me? I'm all alone...
Girl,Kalm - Cloud's Story,......My older brother's so stupid. He's so embarrassing I could just puke!
Boy,Kalm - Cloud's Story,"When I grow up I'm gonna be in SOLDIER. That's why I'm training hard now!!Hyah, hayah, eagghh!"
Woman,Kalm - Cloud's Story,Is it true that Shinra made a Monster?
Cloud,Kalm - Cloud's Story,- It's true- Just a rumor
Woman,Kalm - Cloud's Story,"(she says the same thing regardless)Yeah, well either way, as long as we're using the reactor, we can't stand up to Shinra."
Kalm Traveler,Kalm - Cloud's Story,"The world's at peace... all's well.I got my health, and enough to eat... all's well."
Kid outside Bar,Kalm - Cloud's Story,"My old man was a miner, but he couldn't go to work after monsters started appearing in the Mythril Mine.Now all he does is sit around getting drunk in the bar..."
Person in Blue,Kalm - Cloud's Story,"I heard terrorists bombed a Midgar reactor...There sure have been a lot of dangerous accidents recently. I hate it, just hate it."
Man,Kalm - Cloud's Story,"Me? I used to work in a coal mine down south called Mythril MineBut, right around then, monsters started appearing.After that, business went to pot and now I spend the days here drinking.Urrrp! ...hic... I'm stinking drunk!!"
Bartender,Kalm - Cloud's Story,"It seems there was this group called AVALANCHE runnin' around, but I guess they finally got wiped out by SOLDIER.Shinra is trying to eliminate anyone, who stands up to them.It don't matter if we like it or not. Shinra's taken over, and we gotta live with it!"
Cook,Kalm - Cloud's Story,Stay out of the kitchen.
Item Shopkeeper,Kalm - Cloud's Story,This is the Item Store.
Materia Shopkeeper,Kalm - Cloud's Story,This is the Materia Store.
Weapons Shopkeeper,Kalm - Cloud's Story,This is the Weapons Store.
Cloud,Kalm - Cloud's Story,Barret and the others are waiting for us at the inn.
Innkeeper,Kalm - Cloud's Story,Mr...... Cloud? Your party is waiting for you on the 2nd floor.
Aeris,Kalm - Cloud's Story,"Cloud, you're late!"
Barret,Kalm - Cloud's Story,"Yo man, you're late!"
Cloud,Kalm - Cloud's Story,Sorry to keep you waiting.
Aeris,Kalm - Cloud's Story,Guess everyone's here now.
Barret,Kalm - Cloud's Story,"So let's hear your story......You know, the one about Sephiroth and the crisis facing the planet.Let's hear it all."
Cloud,Kalm - Cloud's Story,"......I used to want to be like Sephiroth, so I joined SOLDIER.After working with Sephiroth on several missions, we became friends."
Barret,Kalm - Cloud's Story,You call that a friend?
Cloud,Kalm - Cloud's Story,"Yeah, well......He's older than me, and he hardly ever talked about himself."
Tifa,Kalm - Cloud's Story,.........
Cloud,Kalm - Cloud's Story,So I guess you'd call him a war buddy...... We trusted each other. Until one day......
Aeris,Kalm - Cloud's Story,...one day?
Cloud,Kalm - Cloud's Story,After the war it was SOLDIER's duty to put down any resistance against the Shinra.......that was 5 years ago.I was 16......
Cloud,Kalm - Cloud's Story,It sure is raining hard.
Soldier,Kalm - Cloud's Story,I'm all right.
Cloud,Kalm - Cloud's Story,I wouldn't know...I've never had motion sickness.
Sephiroth,Kalm - Cloud's Story,Hey.Settle down.
Cloud,Kalm - Cloud's Story,(doing squats)They gave me some new Materia.I can't wait to use it.
Sephiroth,Kalm - Cloud's Story,...just like a kid.
Cloud,Kalm - Cloud's Story,You going to brief us about this mission?
Sephiroth,Kalm - Cloud's Story,...this isn't a typical mission.
Cloud,Kalm - Cloud's Story,Good!
Sephiroth,Kalm - Cloud's Story,Why do you say that?
Cloud,Kalm - Cloud's Story,"I joined SOLDIER so I could be like you.But by the time I made First Class, the war was already over.My big hopes of becoming a hero like you ended with the war.That's why I always sign up whenever there's a big mission. Kind of a way to prove myself.Say, how do you feel, MISTER Sephiroth?"
Sephiroth,Kalm - Cloud's Story,...I thought you wanted a briefing?
Sephiroth,Kalm - Cloud's Story,"Our mission is to investigate an old Mako reactor.There have been reports of it malfunctioning, and producing brutal creatures.First, we will dispose of those creatures. Then, we'll locate the problem and neutralize it."
Cloud,Kalm - Cloud's Story,Brutal creatures... Where?
Sephiroth,Kalm - Cloud's Story,The Mako Reactor at Nibelheim.
Cloud,Kalm - Cloud's Story,Nibelheim...That's where I'm from.
Sephiroth,Kalm - Cloud's Story,Hmm... hometown...
Driver,Kalm - Cloud's Story,"Sir... s, something strange just crashed into our truck!"
Sephiroth,Kalm - Cloud's Story,That would be our Monster...
Cloud,Kalm - Cloud's Story,Sephiroth's strength is unreal. He is far stronger in reality than any story you might have heard about him.
Aeris,Kalm - Cloud's Story,So... Where do you come in?
Cloud,Kalm - Cloud's Story,Me? I was mesmerized by the way Sephiroth fought.
Tifa,Kalm - Cloud's Story,.........
Cloud,Kalm - Cloud's Story,......and then we reached Nibelheim.
Sephiroth,Kalm - Cloud's Story,"How does it feel?It's your first time back to your hometown in a long time, right?So how does it feel?I wouldn't know because I don't have a hometown..."
Cloud,Kalm - Cloud's Story,Ummm... how 'bout your parents?
Sephiroth,Kalm - Cloud's Story,My mother is Jenova. She died right after she gave birth to me. My father...
Soldier,Kalm - Cloud's Story,Psst... (You keep wandering around here and you'll get in trouble.)
Soldier 2,Kalm - Cloud's Story,"It's so boring, being on watch."
Cloud,Kalm - Cloud's Story,"- You want to do what we always do?- Just sit tight, it's your job, right?"
Soldier 2,Kalm - Cloud's Story,"Practice... oh, you mean practice my pose.Does someone in SOLDIER always have to be careful about what other people think?...How did it go?"
Cloud,Kalm - Cloud's Story,Good job!
Soldier 2,Kalm - Cloud's Story,I really don't want to be in SOLDIER.
Sephiroth,Kalm - Cloud's Story,The Mako smell is pretty bad here.
Barret,Kalm - Cloud's Story,"You wait a minute!!Isn't that, um...?The name of Sephiroth's mother...I remember Jenova. That's that damn headless spook livin' in the Shinra building."
Cloud,Kalm - Cloud's Story,That's right.
Tifa,Kalm - Cloud's Story,"Barret, would you please let us hear what Cloud has to say? You can ask questions later."
Barret,Kalm - Cloud's Story,"Tifa, I was only......"
Tifa,Kalm - Cloud's Story,"Okay Cloud, continue."
Aeris,Kalm - Cloud's Story,It's a reunion of childhood pals!
Cloud,Kalm - Cloud's Story,......I was really surprised with Tifa.
Cloud,Kalm - Cloud's Story,"(narrating)...The town was quiet.Everyone must be staying in their houses, afraid to come out because of the monsters.No, maybe they're afraid of us..."
Sephiroth,Kalm - Cloud's Story,We leave for the reactor at dawn. Make sure you get to sleep early.
Sephiroth,Kalm - Cloud's Story,"Oh, that's right...You may visit your family and friends."
Man with Camera,Kalm - Cloud's Story,I heard Sephiroth was coming and got my camera ready.I want a shot of Sephiroth and a monster.
Cloud,Kalm - Cloud's Story,"- Take my picture.- Better get back in the house, it's dangerous."
Man with Camera,Kalm - Cloud's Story,I don't take pictures with nobodys.
Man with Camera,Kalm - Cloud's Story,"All right... So big-headed...Hey? This guy's a real...You... Are you Cloud?Really? So that's how it is, huh?Gosh, Cloud, you've grown up to be a nice-looking lad."
Cloud,Kalm - Cloud's Story,"- Then take my picture- It's dangerous, get back in your house"
Man with camera,Kalm - Cloud's Story,"Let's do this, Cloud. Let me take a picture of you with Sephiroth."
Man with Camera,Kalm - Cloud's Story,"OK, OK,...... So big-headed... You're just his assistant"
Soldier,Kalm - Cloud's Story,Man... I'm so nervous.
Cloud,Kalm - Cloud's Story,- How come?- I'm excited.
Soldier,Kalm - Cloud's Story,"Look, you never know when a monster's gonna show up, right?"
Soldier,Kalm - Cloud's Story,...That's right. Don't blow your chance to become a hero...
Woman,Kalm - Cloud's Story,Welcome.Hey? Aren't you...
Cloud,Kalm - Cloud's Story,...Have I come here before?...I don't remember.
Barret,Kalm - Cloud's Story,"Now you're pissin' me off!! This don't matter, so get on with it!"
Cloud,Kalm - Cloud's Story,"This Mansion......No, I'll come here later."
Tifa's Father,Kalm - Cloud's Story,Hmm? You from Shinra?
Cloud,Kalm - Cloud's Story,- That's right!- Who are you?
Tifa's Father,Kalm - Cloud's Story,Geez... Big-headed young kid.
Tifa's Father,Kalm - Cloud's Story,I'm the town's... ...... ......!?Aren't you Cloud?Don't you know me?
Cloud,Kalm - Cloud's Story,You're Tifa's...
Tifa's Father,Kalm - Cloud's Story,Right. I'm Tifa's father....I want you to stay away from my daughter.We don't need the Shinra's help to protect our town!
Cloud,Kalm - Cloud's Story,Up ahead is... Mt. Nibel.I'll tell you about the time I went into the mountains.
Cloud,Kalm - Cloud's Story,This is...... my house. It has nothing to do with that incident five years ago.
Barret,Kalm - Cloud's Story,"Yo wait, I wanna hear."
Aeris,Kalm - Cloud's Story,"Me too! It's been a long time, right?"
Barret,Kalm - Cloud's Story,"Tell us more!You saw your family, right?"
Cloud,Kalm - Cloud's Story,- Don't want to talk about it- All right......
Barret,Kalm - Cloud's Story,Well I ain't gonna force ya...
Cloud,Kalm - Cloud's Story,Uh...?
Cloud's Mom,Kalm - Cloud's Story,Ye----s?
Cloud,Kalm - Cloud's Story,"Hi, mom."
Cloud's Mom,Kalm - Cloud's Story,"Come, come... Let me take a look at you!Hmmm......You look so handsome.So this is a SOLDIER uniform?"
Cloud,Kalm - Cloud's Story,"......Mom, I..."
Cloud's Mom,Kalm - Cloud's Story,"My, how you've grown.I'll bet the girls never leave you alone."
Cloud,Kalm - Cloud's Story,...Not really.
Cloud's Mom,Kalm - Cloud's Story,...I'm worried about you.There are a lot of temptations in the city...I'd feel a lot better if you just settled down and had a nice girlfriend.
Cloud,Kalm - Cloud's Story,...I'm all right.
Cloud's Mom,Kalm - Cloud's Story,"You should have...an older girlfriend, one that'll take care of you.I think that would be the perfect type for you."
Cloud,Kalm - Cloud's Story,......I'm not interested.
Cloud's Mom,Kalm - Cloud's Story,Are you eating right?
Cloud,Kalm - Cloud's Story,I'm all right. The Company takes care of me.
Cloud's Mom,Kalm - Cloud's Story,"Is that so?You can't cook, right?I was worried sick about how you were doing..."
Cloud's Mom,Kalm - Cloud's Story,Cloud...?
Cloud's Mom,Kalm - Cloud's Story,"You know, Cloud......"
Cloud's Mom,Kalm - Cloud's Story,"......isn't that right, Cloud?"
Cloud's Mom,Kalm - Cloud's Story,I will always be your mother...
Cloud,Kalm - Cloud's Story,(narrating)......Let's stop this......
Cloud,Kalm - Cloud's Story,Hey...I can't... remember much else. There's... nothing more to talk about.
Aeris,Kalm - Cloud's Story,"That's all right, Cloud."
Tifa,Kalm - Cloud's Story,Cloud...?Did you go into my house?
Cloud,Kalm - Cloud's Story,- Yeah...- No...
Tifa,Kalm - Cloud's Story,Cloud...?Did you go into my room?
Cloud,Kalm - Cloud's Story,- Yeah......- No...
Tifa,Kalm - Cloud's Story,Did you play my piano?
Cloud,Kalm - Cloud's Story,"- No, I didn't- Yeah, I jammed on it- Just a little"
Cloud,Kalm - Cloud's Story,The letter...
Tifa,Kalm - Cloud's Story,Did you read it? My letter?
Cloud,Kalm - Cloud's Story,- I'd never do that!- Yeah...
Tifa,Kalm - Cloud's Story,Of course!
Tifa,Kalm - Cloud's Story,Do you remember what it said...?
Cloud,Kalm - Cloud's Story,- I don't remember...- I remember clearly
Tifa,Kalm - Cloud's Story,"Then, let's go on with the story about Sephiroth."
Cloud,Kalm - Cloud's Story,I read it...It was a letter addressed to Tifa from the son of the guy that runs the General Store...
Letter,Kalm - Cloud's Story,"Tifa, how are you? I just arrived in Midgar eight days ago.Yesterday, all of Nibelheim got together to welcome me. The only person that we couldn't get a hold of was Cloud.But everyone said he wasn't really that close to us. So even if we asked, he probably wouldn't have come anyway.Well, enough about him.Midgar is really something. But to tell the truth, I feel so behind on everything... so out of it.Even the rooms of people in the slums are clean.Right now I'm living in the slums, but I plan to move to a really nice room, like the ones I've seen in magazines, once I make some money....but, to do that, I guess I have to find a job first. That's right. I still haven't found a job yet.I lied to my parents and told them I found a great job with Shinra, Inc.I wonder if it's too late to go back. Sometimes I think I should've taken over my parents' store."
Tifa,Kalm - Cloud's Story,Cloud... Do you remember all of it?
Cloud,Kalm - Cloud's Story,"- No, that's it- Yeah, I remember it all"
Tifa,Kalm - Cloud's Story,"Then, let's go on with the story about Sephiroth."
Letter,Kalm - Cloud's Story,"I just made it here to Midgar but all I think about is Nibelheim.Hey, Tifa... Is that stupid old water tower still working?Is the old man at the Inn doing well? Are my parents still at the shop everyday? Have any monsters attacked?And most of all, how are you, Tifa? It feels like I haven't seen you for years.We were all talking about you last night.Everyone likes you. But because everyone idolizes you, I couldn't very well stab them in the back.I always acted cool, but actually, I was just afraid of being jilted.Wow, if I keep writing like this, this'll become a love letter!So, I think I'll stop here. Take care. I'll write again.P.S. Write me back, okay?"
Tifa,Kalm - Cloud's Story,Cloud!!!
Cloud,Kalm - Cloud's Story,- It's true- Just kidding. Don't get mad...
Tifa,Kalm - Cloud's Story,(she says the same thing regardless)...CloudWe're talking about something really important here.
Black-haired Woman,Kalm - Cloud's Story,"...Oh, you're with the Shinra? Welcome.Oh, I'm sorry! It's you, Cloud! I didn't recognize you."
Girl,Kalm - Cloud's Story,Shinra----?
Boy,Kalm - Cloud's Story,Chinra---?
Girl,Kalm - Cloud's Story,SOLDIER?
Boy,Kalm - Cloud's Story,Saltza?
Girl,Kalm - Cloud's Story,Are you going to kill the monsters?
Boy,Kalm - Cloud's Story,......are you going to?
Girl,Kalm - Cloud's Story,He's soooo cool!!
Boy,Kalm - Cloud's Story,Way cool!!
Black-haired Woman,Kalm - Cloud's Story,"Cloud, you've grown to be a strong man."
Boy,Kalm - Cloud's Story,........................
Girl,Kalm - Cloud's Story,Do your best.
Boy,Kalm - Cloud's Story,Do your best.
Gramps,Kalm - Cloud's Story,"So, what do you need, Cloud?"
Cloud,Kalm - Cloud's Story,- Where's Sephiroth?- Give me a room to stay.- Let me know the situation of the town.
Gramps,Kalm - Cloud's Story,"Yeah, he's upstairs."
Gramps,Kalm - Cloud's Story,"It's all reserved for you Shinra people, so I don't mind. But, wouldn't you feel more comfortable staying at home?"
Gramps,Kalm - Cloud's Story,"Now about the town...A lot of monsters have been appearing in the last 12 months.Other than that, there's not much change. Nothing much exciting happens in a little town like this.It was all right when they were building the reactor....while they were still building it.But once it was completed, it's been bad.Within a few years, all the trees on the mountain withered away.I don't know if the reactor was good or bad...I mean it's easy to say that it was a bad idea now. But now, what can you do about it...?Anyhow we've got to get rid of the monsters...Then, we'll all be able to relax a little bit."
Zangan,Kalm - Cloud's Story,......HmmmmIs Shinra here to get rid of the monsters?
Cloud,Kalm - Cloud's Story,And who are you?
Zangan,Kalm - Cloud's Story,"I'm . I travel around the world teaching children martial arts.I have 128 students all over the world!In this town, a girl named Tifa is my student."
Cloud,Kalm - Cloud's Story,Did you say Tifa?
Zangan,Kalm - Cloud's Story,"Tifa has good sense. She'll be a powerful fighter.I want to see some Shinra techniques.And if you see anything you can use, you might want to incorporate some of my techniques.Well, good luck."
Soldier,Kalm - Cloud's Story,"Hey, if you don't calm down, you won't get a good evaluation..."
Cloud,Kalm - Cloud's Story,What are you looking at?
Sephiroth,Kalm - Cloud's Story,...This scenery...... I feel like I know this place.
Soldier,Kalm - Cloud's Story,(inside the room)We're short one bed...
Sephiroth,Kalm - Cloud's Story,............We have an early start tomorrow. You should get some sleep soon.
Cloud,Kalm - Cloud's Story,"- It's still early- Yeah, let's get some sleep."
Sephiroth,Kalm - Cloud's Story,...I'm not going to wake you up tomorrow.
Sephiroth,Kalm - Cloud's Story,"I've hired a guide to the Mako reactor.I've heard she's young, I hope we can rely on her..."
Gramps,Kalm - Cloud's Story,"So, what do you need, Cloud?"
Cloud,Kalm - Cloud's Story,- Where's Sephiroth?- Give me a room to stay.- Let me know the situation of the town.
Gramps,Kalm - Cloud's Story,"...I think you probably know better than I do, but..."
Gramps,Kalm - Cloud's Story,It's the same story I always tell. You still want to hear it?
Cloud,Kalm - Cloud's Story,"- Yeah, tell me again- No, that's all right"
Woman,Kalm - Cloud's Story,"Welcome.Oh, oh, you're..."
Black-haired Woman,Kalm - Cloud's Story,Have a safe trip.
Sephiroth,Kalm - Cloud's Story,"Hey, stay over here!"
Man with Camera,Kalm - Cloud's Story,Think they'd let me take a picture?
Tifa's Father,Kalm - Cloud's Story,"If I knew this was going to happen, I would've made mountain climbing off limits..."
Soldier,Kalm - Cloud's Story,I was so nervous. I couldn't get any sleep...
Soldier 2,Kalm - Cloud's Story,...Late again.
Sephiroth,Kalm - Cloud's Story,"Hey, calm down! Wait over here."
Sephiroth,Kalm - Cloud's Story,"Once the guide gets here, we're heading out."
Tifa's Father,Kalm - Cloud's Story,"Listen to me, Sephiroth. In case something happens..."
Sephiroth,Kalm - Cloud's Story,...Trust me.
Tifa,Kalm - Cloud's Story,"I'll be all right, Dad!I have two men from SOLDIER with me.I'm . Nice to meet you!"
Cloud,Kalm - Cloud's Story,Tifa! You're the guide?
Tifa,Kalm - Cloud's Story,That's right.I just happen to be the number one guide in this town.
Cloud,Kalm - Cloud's Story,It's too dangerous! I can't involve you in something like this!
Sephiroth,Kalm - Cloud's Story,Then there's no problem if you protect her....Let's go.
Man with Camera,Kalm - Cloud's Story,"Ummm...Mr. Sephiroth! Please let me take one picture for a memento!Tifa, can you ask him for me too......?"
Man with Camera,Kalm - Cloud's Story,Cheeeeese!
Man with Camera,Kalm - Cloud's Story,"Great, thank you!I'll give each of you a copy once I get it developed!"
Cloud,Kalm - Cloud's Story,(narrating)A Mako Reactor was built in Mt. Nibel.The cold air of the mountains of Nibel. It was no different...
Tifa's Father,Kalm - Cloud's Story,"I hate myself for asking you this, but...Don't take your eyes off of Tifa! Hurry up and go back to her side!"
Gramps,Kalm - Cloud's Story,"Hey, you want to rest?"
Cloud,Kalm - Cloud's Story,"- Yes, please- Forget it"
Gramps,Kalm - Cloud's Story,"It's already been paid for. Go on, get some rest."
Zangan,Kalm - Cloud's Story,Oh? Did you come crying home?
Tifa,Kalm - Cloud's Story,It gets harder from here! Follow me!
Soldier,Kalm - Cloud's Story,Let's hurry.
Tifa,Kalm - Cloud's Story,Uh... the bridge!!
Sephiroth,Kalm - Cloud's Story,Everyone seems to be all right. Can we get back to where we were?
Tifa,Kalm - Cloud's Story,"These caves are intertwined, just like an ant farm...Oh, and Sephiroth... There seems to be one person missing..."
Sephiroth,Kalm - Cloud's Story,"It may sound cold, but we've got no time to search for him. We can't go back now, so we must go on. We'll travel together from here."
Cloud,Kalm - Cloud's Story,What's this?
Tifa,Kalm - Cloud's Story,A mysteriously colored cave...
Sephiroth,Kalm - Cloud's Story,It must be the Mako energy. This mountain is especially abundant in it. That's why the Mako Reactor was built here.
Cloud,Kalm - Cloud's Story,...And what's this?
Sephiroth,Kalm - Cloud's Story,A Mako fountain. It's a miracle of nature.
Tifa,Kalm - Cloud's Story,It's so beautiful...
Sephiroth,Kalm - Cloud's Story,"Materia. When you condense Mako energy, materia is produced.It's very rare to be able to see materia in its natural state."
Cloud,Kalm - Cloud's Story,By the way... Why is it that when you use materia you can also use magic too?
Sephiroth,Kalm - Cloud's Story,You were in SOLDIER and didn't even know that?...the knowledge and wisdom of the Ancients is held in the materia.Anyone with this knowledge can freely use the powers of the Land and the Planet. That knowledge interacts between ourselves and the planet calling up magic...... or so they say.
Cloud,Kalm - Cloud's Story,Magic...... a mysterious power...
Sephiroth,Kalm - Cloud's Story,"Ha, ha, ha!"
Cloud,Kalm - Cloud's Story,Did I say somethin' funny?
Sephiroth,Kalm - Cloud's Story,A man once told me never to use an unscientific term such as mysterious power! It shouldn't even be called 'magic'!I still remember how angry he was.
Cloud,Kalm - Cloud's Story,Who was that?
Sephiroth,Kalm - Cloud's Story,"Hojo of Shinra, Inc. ... An inexperienced man assigned to take over the work of a great scientist.He was a walking mass of complexes."
Tifa,Kalm - Cloud's Story,A Mako fountain... So this is where the knowledge of the Ancients is.
Tifa,Kalm - Cloud's Story,We finally made it. We sure took the long way though.
Cloud,Kalm - Cloud's Story,"Tifa, you wait here."
Tifa,Kalm - Cloud's Story,I'm going inside too! I wanna see!
Sephiroth,Kalm - Cloud's Story,Only authorized people are allowed in. This place is full of Shinra's industrial secrets.
Tifa,Kalm - Cloud's Story,But!
Sephiroth,Kalm - Cloud's Story,Take care of the lady.
Tifa,Kalm - Cloud's Story,"Mm, man!Better take real good care of me then!"
Cloud,Kalm - Cloud's Story,"This is...... Jenova, right? The lock won't open..."
Sephiroth,Kalm - Cloud's Story,"This is the reason for the malfunction. This part is broken.Cloud, close the valve.Did you close the valve?"
Sephiroth,Kalm - Cloud's Story,Why did it break...?
Cloud,Kalm - Cloud's Story,"Uh, umm...... Oh yeah! It becomes a Materia."
Sephiroth,Kalm - Cloud's Story,"Right, normally. But Hojo put something else in there. ...Take a look.Look through the window."
Cloud,Kalm - Cloud's Story,Wh... what is this!?
Sephiroth,Kalm - Cloud's Story,"Normal members of SOLDIER are humans that have been showered with Mako.You're different from the others, but still human.But, what are they? They've been exposed to a high degree of Mako, far more than you."
Cloud,Kalm - Cloud's Story,...is this some kind of monster?
Sephiroth,Kalm - Cloud's Story,Exactly. And it's Hojo of Shinra that produced these monsters.Mutated living organisms produced by Mako energy. That's what these monster's really are.
Cloud,Kalm - Cloud's Story,Normal members of SOLDIER? You mean you're different?
Cloud,Kalm - Cloud's Story,"H... hey, Sephiroth!"
Sephiroth,Kalm - Cloud's Story,N... no.........Was I?
Sephiroth,Kalm - Cloud's Story,...Was I created this way too?Am I the same as all these monsters......
Cloud,Kalm - Cloud's Story,...Sephiroth.
Sephiroth,Kalm - Cloud's Story,You saw it! All of them... were humans...
Cloud,Kalm - Cloud's Story,Human!? No way!
Sephiroth,Kalm - Cloud's Story,"...I've always felt since I was small...That I was different from the others. Special, in some way.But... not like this..."
Cloud,Kalm - Cloud's Story,(narrating)Am I...... human?I didn't quite understand what Sephiroth was saying at that time.I was even more surprised by the fact that Shinra was producing monsters.
Barret,Kalm - Cloud's Story,"Damn, Shinra! The more I hear, the more I hate 'em!"
Tifa,Kalm - Cloud's Story,......who would have ever thought the Mako Reactor held a secret like that.
Red XIII,Kalm - Cloud's Story,That would seem to explain the increase in the number of monsters recently.I think we should listen carefully to Cloud. Don't you think so Barret?
Barret,Kalm - Cloud's Story,(Why you talkin' to me!?)
Cloud,Kalm - Cloud's Story,- Save game and take a rest- Keep talking
Barret,Kalm - Cloud's Story,"Yeah, mebbe so. Wanna take a breather here?"
Barret,Kalm - Cloud's Story,......I get it.
Aeris,Kalm - Cloud's Story,Tifa... You were waiting outside then?
Tifa,Kalm - Cloud's Story,......Yes.
Cloud,Kalm - Cloud's Story,We returned to Nibelheim. Sephiroth confined himself at the inn. He didn't even try to talk to me.
Tifa,Kalm - Cloud's Story,"Then all of a sudden he just disappeared, right?"
Cloud,Kalm - Cloud's Story,We found him inside the biggest building in Nibelheim.
Tifa,Kalm - Cloud's Story,The villagers used to call it Shinra mansion.
Cloud,Kalm - Cloud's Story,"Long ago, people from Shinra used to live in that mansion..."
Man with Camera,Kalm - Cloud's Story,What's Sephiroth doing?
Zangan,Kalm - Cloud's Story,"There's nothing that'll harm the town, right?"
Cloud,Kalm - Cloud's Story,- Why...?- No way!
