Quest,Description
Matoya's Cave,Y'shtola is ready to lead you to Matoya's Cave.
Forbidden Knowledge,Matoya is in a mood to reminisce.
An Eye for Aether,Matoya's gaze is firmly fixed upon her tome.
Hour of Departure,Alphinaud has a final task for you before departing for Azys Lla.
The First Flight of the Excelsior,"The game will soon be afoot, and Alphinaud is keen to assemble the players."
Systematic Exploration,Cid looks like a man with a plan.
In Node We Trust,The eons-old guidance node is patiently awaiting instructions.
Chimerical Maintenance,The guidance node is ready to take you through the Beta Quadrant.
Close Encounters of the VIth Kind,The guidance node is ready to take you through the Gamma Quadrant.
Fetters of Lament,The guidance node has ill tidings to share with you.
Heavensward,The guidance node has been awaiting your arrival at the Flagship with customary patience.
An Uncertain Future,Alphinaud wishes to share the latest developments in the search for the missing Scions.
Breaking the Cycle,Alphinaud is ready to escort Lucia to Anyx Trine.
"Another Time, Another Place",Alphinaud is eager to set out for Sharlayan.
In the Eye of the Beholder,The prospect of meeting the famous Master Matoya seems to have set Krile thinking.
"A Little Slow, a Little Late",Alphinaud would like very much to continue the search for Thancred.
Dreams of the Lost,"Alphinaud is lost in thought, doubtless ruminating on the implications of your encounter with the Warriors of Darkness."
Against the Dying of the Light,Lucia would begin the hunt for the arsonists without delay.
"As Goes Light, So Goes Darkness",Lucia is not one to rest on her laurels.
As It Once Was,Tataru is waiting to share good tidings with you and Alphinaud.
The Word of the Mother,Alphinaud is eager to return to the search for Minfilia.
This War of Ours,Alphinaud has reached a decision.
Staunch Conviction,Lucia is concerned that you seem to be looking for something to do.
"Once More, a Favor",Emmanellain is less than his usual effervescent self.
For Those We Have Lost,Emmanellain seems rather pleased with himself.
Consequences,Thancred would like nothing more than to leave Falcon's Nest behind.
Choices,Thancred has lost all patience with Lord Emmanellain.
A Spectacle for the Ages,"The grand melee is poised to begin, and Lucia would not be late."
For Those We Can Yet Save,Ser Aymeric is beaming with pride.
Causes and Costs,Alphinaud knows at last what he must do.
The Man Within,The House Fortemps knight has a message for you.
An Ally for Ishgard,Alphinaud is eager to hear what tidings Ser Aymeric has to share.
Winning Over the Wyrm,Alphinaud seems eager to press on.
An End to the Song,Aymeric is desperate to fly to Ishgard's defense.
Heroes of the Hour,Alphinaud seems distracted.
Litany of Peace,Aymeric appears lost in nostalgia.
Promises Kept,"A new day dawns in Ishgard, and the House Fortemps knight has tidings for you."
Shadows of the First,"As Alphinaud and many others know all too well, there is no rest for the righteous."
Two Sides of a Coin,Alphinaud would like nothing more than to get out of the snow.
Unlikely Allies,Commander Bloeidin is eager to put you to work.
The Beast That Mourned at the Heart of the Mountain,"Shifting nervously from foot to foot, Ga Bu struggles to meet your gaze..."
Beneath a Star-filled Sky,Alphinaud would rather not worry about what may or may not come to pass.
When We Were Free,Alphinaud is eager to get to work.
Honorable Heroes,Papalymo has a mind to learn the Griffin's true intentions.
One Life for One World,Alphinaud would keep moving forward.
An Ending to Mark a New Beginning,Alphinaud seems to be at a loss for words.
Tidings from Gyr Abania,Tataru has a request for you.
An Envoy for Ishgard,Lucia seems eager to set forth for Gridania.
An Allied Decision,Ser Aymeric is ready to attend the council.
"Griffin, Griffin on the Wall",Alisaie seems eager to discuss the council's decision with the other Scions.
Louisoix's Finest Student,It is plain that recent events have shaken Alphinaud to the core.
The Obvious Solution,The interminable wait for news from Gridania seems to be taking its toll on Alisaie.
The Greater Obeisance,
"Fly Free, My Pretty",Yda's eyes shine with rekindled determination.
The Far Edge of Fate,Alphinaud has the look of a man with much to say.
Beyond the Great Wall,Alphinaud is a man with a great deal on his mind.
Lyse Takes the Lead,Lyse is eager to leave Castrum Oriens.
The Promise of a New Beginning,"Conrad knows the purpose of your visit, and would like to give you a proper welcome."
A Haven for the Bold,Alphinaud is pondering how best to make use of your leisure.
A Bargain Struck,Alisaie is nodding approvingly at the sutlers.
A Friend of a Friend in Need,"Before she tells you of her mission, M'naago has a few things she would like to say."
"Signed, Sealed, to Be Delivered",M'naago would like nothing more than to continue on to Castrum Oriens.
Best Served with Cold Steel,Raubahn knows exactly what he would like you to do.
Let Fill Your Hearts with Pride,M'naago is ready to return to Rhalgr's Reach.
A Familiar Face Forgotten,Meffrid cannot help but wonder if you remember who he is.
The Prodigal Daughter,Meffrid would like to introduce you to the village elder.
Hard Country,"Griseldis is here, but her mind is elsewhere..."
Death by a Thousand Rocks,Angry Coeurl regards you with suspicion.
A Life More Ordinary,Meffrid is hard at work trying to win over the villagers of Ala Gannha.
The Color of Angry Qiqirn,Meffrid understands that you must act quickly to save Wercrata.
The Black Wolf's Pups,Lyse has never been one to ignore her conscience.
Homeward Bound,Meffrid has no wish to linger unnecessarily.
Where Men Go as One,Conrad wishes to thank you for all you have done in such a short time.
"Future Rust, Future Dust",Beves is certain he has seen you somewhere before.
A Dash of Green,Ahelissa considers the cookpot with a frown.
Ye Wayward Brothers,The Ananta battlemaid is not one to be trifled with.
Token of Faith,The swarthy Resistance fighter is at wit's end.
Crossing the Velodyna,Alphinaud has been making himself useful to the Resistance...
In Crimson It Began,Pipin is looking forward to the assault on Castellum Velodyna.
The Fires Fade,The haunted look in Raubahn's eyes speaks volumes...
Bereft of Hearth and Home,"Rhalgr's Reach is no longer safe, as Pipin well knows."
Divide and Conquer,Conrad is a man struggling to cope with a bitter reality.
"Lies, Damn Lies, and Pirates",Alisaie is contemplating the logistics of a journey to the Far East.
Tales from the Far East,Alphinaud is thinking of ways you might pass the time...
Not Without Incident,Lyse thinks it is time you returned to Limsa Lominsa.
The Man from Ul'dah,"Despite traveling halfway around the world, Alphinaud is in no mood to take in the sights."
Where the Streets Are Paved with Koban,Hancock would like very much to continue talking.
By the Grace of Lord Lolorito,Hancock seems to be quite pleased with himself
A Good Samurai Is Hard to Find,Alphinaud is a man with a plan.
It's Probably a Trap,Lyse is about ready to give up.
Making the Catfish Sing,Lyse would like to ask Gyodo a few questions...
"Once More, to the Ruby Sea","For a man who has just defeated ten samurai in a row, Gosetsu is looking rather sheepish..."
Open Water,"One does not simply cross the Ruby Sea, as Soroban well knows."
Boys with Boats,Tansui's face betrays nothing as he looks you up and down.
To Bend with the Wind,Soroban is in high spirits.
Confederate Consternation,Alisaie seems bemused to find herself standing outside a Confederate settlement.
The Solace of the Sea,Afumi has no patience for seasick pirates.
The Arrows of Misfortune,Kajika is nodding sagely in your direction.
The Last Voyage,Aranami is not a man accustomed to being kept waiting.
Alisaie's Stones,Hirase is impressed by your industrious nature.
Under the Sea,"Though Rasho is a man of few words, he has some left to say."
Of Kojin and Kami,Soroban is curious to learn why you are here.
In Soroban We Trust,"Soroban is about to show you a shining, shimmering, splendid new world."
Forever and Ever Apart,Lyse would not delay in beginning the search for the Yasakani–no–Magatama.
In Darkness the Magatama Dreams,Alisaie's sigh tells you all you need to know about her state of mind.
The Whims of the Divine,"As ever, Alisaie is eager to keep moving."
Breaking and Delivering,"Much like her brother, Alisaie also loves it when a plan comes together."
The Lord of the Revel,"Alisaie may not have the best plan, but she has the only one."
"Tide Goes in, Imperials Go Out",Lyse is not sure what to make of Isari.
A Silence in Three Parts,"Though he is less than the picture of perfect health, Gosetsu is ready to resume his journey to Yanxia."
Life after Doma,Gosetsu is demonstrating uncharacteristic restraint.
A Glimpse of Madness,"It is not often that the Liberation Front guard welcomes heroes from distant lands, but he is doing his best to compose himself."
The Stubborn Remainder,Yugiri would like to have a word with you.
The Ones We Leave Behind,Yugiri is uncertain how best to proceed.
A New Ruby Tithe,Yugiri is troubled by what she has seen.
The Will to Live,Yugiri is in her element.
Daughter of the Deep,Yugiri is at a loss for words.
Path of No Return,"All warriors must choose their own path, as Gosetsu well knows."
The Time between the Seconds,"Yugiri has made her choice, and so have you."
All the Little Angels,Isse is beside himself with emotion.
Here There Be Xaela,Yugiri is ready to guide you to the Azim Steppe.
The Search for Lord Hien,Yugiri has a simple plan for finding Lord Hien.
A Season for War,"Cirina does not usually depend on the kindness of strangers, but will gladly make an exception today."
An Impossible Dream,Cirina knows where you might find Lord Hien.
Stars in the Dark,"Hien is, if nothing else, an optimist at heart."
A Warrior's Welcome,Cirina would impress upon you the gravity of the path you walk.
The Heart of Nations,"If you wish for employment, Cirina has a suggestion."
A Trial Before the Trial,Hien is ready to become a warrior of the Steppe.
In the Footsteps of Bardam the Brave,Hien is ready to undertake the challenge of Bardam's Mettle.
The Children of Azim,Lyse is eager to return triumphant to Mol Iloh.
The Labors of Magnai,Baatu shall tell you how you might serve the Oronir.
For Love of the Moon,Hien would know more of your captors and their ways.
Sworn Enemies of the Sun,Magnai has a new task in mind for you and yours.
The Undying Ones,Gosetsu is brimming with indignation.
A Final Peace,Gosetsu has been given much to consider...
As the Gods Will,Gosetsu has seen enough of Dotharl Khaa.
Naadam,"The Naadam is nigh, and Cirina would have you make your final preparations."
Glory to the Khagan,Hien has what can be best described as a “shite-eating grin.”
In Crimson They Walked,Lord Hien's eyes are filled with determination.
The Hour of Reckoning,The time has come for Lord Hien to return to Doma.
The Room Where It Happened,Alphinaud has devised a cunning strategy to reclaim Doma Castle.
How Tataru Got Her Groove Back,Tataru has grown rather accustomed to her life in Kugane.
Seeds of Despair,"If you seek further employment, Alphinaud can point you in the right direction."
The Limits of Our Endurance,"If you still want for work, Alisaie has a suggestion."
"Broken Steel, Broken Men",Tsuranuki has seen your kind before.
The Doma Within,Lyse is more determined than ever to play her part.
On the Eve of Destiny,Hien understands what he must do for Doma.
The Die Is Cast,"All hangs in the balance, as Hien well knows."
The World Turned Upside Down,Alphinaud is at a loss for words.
A Swift and Secret Departure,Alphinaud would like to return to the Ruby Bazaar posthaste.
While You Were Away,"Home is where the heart is, and Alphinaud's is in Eorzea."
Rhalgr's Beacon,"You, Raubahn, and your allies have much to discuss."
The Fortunes of War,"Your work is far from finished, as Conrad knows."
"Rising Fortunes, Rising Spirits",Conrad would like just as much as you to resume your march east towards the Peaks.
The Lure of the Dream,Alphinaud has heard this story too many times before...
The Lady of Bliss,Vajra is ready to guide you to Djanan Qhat.
The Silence of the Gods,"Thanks to you, Vajra and her people need no longer live in fear."
The First of Many,Alphinaud hopes that you are ready to rejoin the main host.
Strong and Unified,M'naago would rather not keep General Aldynn and the others waiting.
Hells Open,Alisaie is ready to depart Ala Ghiri when you are.
Heavens Weep,The fear in Alisaie's eyes is unlike anything you have ever seen before.
The Road Home,"Slowly but surely, Alphinaud is regaining his composure."
For the Living and the Dead,The question of how to move forward in Conrad's absence looms large in Alphinaud's mind.
Above the Churning Waters,Lyse's mind is made up.
The Path Forward,Lyse is not willing to let this opportunity pass you by.
With Tired Hands We Toil,Alphinaud is ready to lead the way to Radiata.
Where Courage Endures,"The Roegadyn woman you seek is somewhere in Radiata, and Lyse is eager to find her."
The Price of Freedom,"As usual, Alphinaud has a brilliant plan."
Raubahn's Invitation,Raubahn wishes to thank you for your service.
Liberty or Death,Raubahn would share with you a story.
The Lady in Red,Lyse has a proposal.
Upon the Great Loch's Shore,Lyse is feeling relaxed and refreshed.
The Key to Victory,Alphinaud remains concerned for his dear friend.
The Resonant,Lyse is in the mood for a swim.
The Legacy of Our Fathers,Alphinaud is a man with one less worry on his mind.
The Measure of His Reach,Raubahn has a personal favor to ask of you.
Stormblood,"At long last, the end is in sight."
Arenvald's Adventure,Lyse seems troubled.
The Darkness Below,You can almost see the wheels turning in Alphinaud's head.
The Mad King's Trove,Alphinaud seems eager to share his theory.
The Butcher's Blood,Arenvald is still grinning at Alphinaud's discomfort.
Echoes of an Echo,Lyse is lost in thought.
A Sultana's Strings,Alphinaud's thoughts appear to have turned from adventure to administration.
A Sultana's Duty,Nanamo seems lost in thoughts of the past.
A Sultana's Resolve,Nanamo appears to be reassessing her plans.
Securing the Saltery,Nanamo is ready to move ahead with her plans.
A Blissful Arrival,Alphinaud seems satisfied that he and Watt are of one mind.
Return of the Bull,Raubahn seems unconvinced by the Qalyana's sincerity.
Tidings from the East,Lyse has tidings to share with you.
The Sword in the Store,Alphinaud is eager to find the pawnbroker.
Hope on the Waves,"Gosetsu's trail leads to the sea, and that is where Yugiri would go."
Elation and Trepidation,Yugiri is eager to see Gosetsu safely back to their master.
Storm on the Horizon,"The Empire is on the move, and Hien would not be caught on the back foot."
His Forgotten Home,Alisaie is pondering how best to make use of your reprieve from the tedium of negotiations.
A Guilty Conscience,Asahi has had his fill of adventure for one day.
Rise of a New Sun,Lord Hien has at last reached a decision.
Gosetsu and Tsuyu,Alphinaud has important news to share.
Gone Like the Morning Dew,"Though his face betrays little sign of panic, Hien is plainly desperate to find Yotsuyu before something terrible happens."
Fruits of Her Labor,Hien's face is a picture of relief.
Conscripts and Contingencies,Lord Hien seems keen to take stock of the situation.
The Primary Agreement,Hien is ready to proceed with the prisoner exchange.
Under the Moonlight,Alisaie seems ready to bid farewell to Doma.
Emissary of the Dawn,"With thoughts of Alphinaud's plight weighing heavy on her mind, Alisaie might welcome some company."
Sisterly Act,Alisaie is impatiently fussing with her linkpearl.
Feel the Burn,Hien is mulling over the details of Alphinaud's linkpearl call.
Shadows in the Empire,Hien has a request for the Scions.
A Power in Slumber,Hien is eager to set out for the Azim Steppe.
The Will of the Moon,Y'shtola is ready to put her skills to use.
The Call,Y'shtola would see the aether flow once more.
Prelude in Violet,Alisaie is eager to rendezvous with Urianger.
Soul Searching,Alisaie is at her wit's end.
A Defector's Tidings,The news from Ala Mhigo has left Alisaie in a state of nervous excitement.
Seiryu's Wall,Hien is eager to see the energy barrier in action.
Parley on the Front Lines,Hien stands ready to depart for Ala Mhigo.
The Face of War,"Having listened to Emperor Varis's maniacal plans, Lyse is ready to go to war."
A Brief Reprieve,"Hoary Boulder's sullen expression suggests he has no news to share, which in this case may not mean good news."
A Requiem for Heroes,"Despite the apparent urgency of Raubahn's summons, the Resistance fighter seems content to wait for your signal to proceed."
The Syrcus Trench,Tataru is itching to share what appears to be good news.
City of the First,The Crystal Exarch has a request for you.
Travelers of Norvrandt,The Crystal Exarch is finally ready to discuss the matter of your comrades' whereabouts.
In Search of Alphinaud,The Crystal Exarch is eager for you to meet with Alphinaud.
A Still Tide,"Whatever Szem Djenmai has to tell you, he plainly deems it worthy of your undivided attention."
"Open Arms, Closed Gate",Alphinaud is ready to take to the road once more.
A Fickle Existence,Alphinaud wears a look of profound disapproval.
,"Alphinaud weighs the brush you received from Tristol, deep in thought."
Free to Sightsee,Alphinaud would send you into the city to explore.
A Taste of Honey,The amiable maiden appears suddenly concerned.
A Blessed Instrument,Alphinaud draws you close with a whisper.
Emergent Splendor,Alphinaud seems eager to discuss the significance of your discoveries.
In Search of Alisaie,
City of the Mord,"Cassard stands at the entrance to Mord Souq, an eager smile on his face."
Working Off the Meal,Cassard is impressed by your gastronomic fortitude.
A Desert Crossing,Tesleen is eager to set off.
Following in Her Footprints,"Tesleen casts her gaze around the Inn, hoping to spot Alisaie."
Culling Their Ranks,Alisaie would have you help her finish her patrol.
A Purchase of Fruit,Tesleen has the air of a woman being pulled in ten directions at once.
The Time Left to Us,Tesleen makes an effort to smile brightly.
Tears on the Sand,Alisaie is lost in grief.
The Lightwardens,The Crystal Exarch welcomes you back to the Crystarium.
Warrior of Darkness,The Exarch is looking ahead to the immediate future.
An Unwelcome Guest,The manager of suites is wearing a grave expression.
The Crystarium's Resolve,The Exarch is eager to delve into the details of his proposal.
Logistics of War,Szem Djenmai has a task for you should you be willing.
The Oracle of Light,"With the operation fast approaching, Lyna means to put you to work."
"Il Mheg, the Faerie Kingdom",Thancred is trying to think his way out of the present predicament.
Sul Uin's Request,Sul Uin aches for your attention.
Ys Iala's Errand,Ys Iala hungers for your assistance.
Oul Sigun's Plea,Oul Sigun thirsts for your kindness.
Unto the Truth,Thancred looks just like you feel.
Courting Cooperation,Urianger fixes you with his gaze.
The Key to the Castle,Sul Uin regards you with a munificent expression.
A Visit to the Nu Mou,Urianger is eager to press on with the hunt for the fae relics.
A Fitting Payment,Wyd Aenc sniffs at you expectantly.
Spore Sweeper,Ys Gyuf's eyes light up at the sight of you.
The Lawless Ones,Wyd Lad's ears appear droopy even by Nu Mou standards.
The Elder's Answer,Wyd Lad looks a satisfied Nu Mou.
A Resounding Roar,Urianger's brow is furrowed in thought.
Memento of a Friend,Seto would make a personal request of you.
Acht-la Ormh Inn,Seto would wish you well on your way.
The Wheel Turns,Thancred wishes to have a word with the hero of the hour.
A Party Soon Divided,The manager of suites is in a cheerful mood.
A Little Faith,Urianger appears lost in thought.
Into the Dark,"Urianger is ready to leave, but not before first offering a piece of advice."
A Day in the Neighborhood,"Y'shtola is staring off into the distance, lost in thought."
A Helping Hand,"Judging by the glint in Runar's eye, there is more for you to learn about Slitherbough."
Lost but Not Forgotten,Runar has more work to be done.
Saying Good-bye,Runar lets out a sigh of relief.
Stirring Up Trouble,Y'shtola seems quite pleased with herself. But whether she has good or bad news to share remains to be seen.
A Beeautiful Plan,Y'shtola is ready to move.
An Unwanted Proposal,"Y'shtola's thirst for knowledge sated, she seems content to return to Slitherbough."
Put to the Proof,Urianger wears a somber expression.
Into the Wood,Y'shtola would waste no time in heading to Yx'Maja.
Top of the Tree,Cymet is staring intently in your general direction.
Look to the Stars,Almet stands ready to guide you through the ruins.
Almet would have you hurry to the pyramid.,
Legend of the Not-so-hidden Temple,Almet wishes to offer you words of warning.
The Aftermath,Almet is strangely quiet.
In Good Faith,"Urianger stands over Runar, ready to begin his ministrations."
The Burden of Knowledge,"The entrance to the Qitana Ravel lies open, and Almet would see you on your way."
Bearing with It,"Y'shtola wears a haunted expression, Emet-Selch's words having clearly found their mark."
Out of the Wood,You cannot help but feel something is bothering Y'shtola.
When It Rains,"Judging by his countenance, the manager of suites has ill tidings for you."
Word from On High,Alisaie is contemplating all that must yet be done in the wake of battle.
Small Favors,"Lyna is gazing solemnly upward, and it is not difficult to guess what occupies her mind."
The Best Way Out,Thancred seems keen to quit the infirmary.
Free Trade,Thancred is gazing with interest at the nearby village.
The Trolley Problem,Zhun Zun is eyeing you with curiosity.
Rust and Ruin,"Thaffe is ready to guide you to Twine, where you might meet the mysterious Magnus."
On Track,Minfilia remains adrift in the turbulent sea of thought.
Down for Maintenance,"Despite his better judgment, Jeryk is considering throwing you a bone."
The Truth Hurts,Jeryk may come to regret his next decision.
A Convenient Distraction,Thancred is tired of waiting around.
A Dirty Job,"Luckily for you, Guthjon is a man of his word."
Have a Heart,Guthjon is still reeling from your miraculous find.
Full Steam Ahead,Magnus is grinning from ear to ear.
Crossroads,The look in Minfilia's eyes is equal parts trepidation and determination.
A Fresh Start,"For perhaps the first time, the look on Ryne's face is one of utter relief."
More than a Hunch,Ryne seems troubled by the sight of you.
Return to Eulmore,"By the way his face lights up at your approach, the manager of suites has been waiting for you."
A Feast of Lies,Urianger is trying to make sense of the strange phenomenon afflicting the residents of Gatetown.
Paradise Fallen,Thancred has a task for you.
The Ladder,Alphinaud's eyes glisten with joy.
The View from Above,Urianger is wearing a pensive look.
In Mt. Gulg's Shadow,Alisaie is eager to get on with the task.
A Gigantic Undertaking,Alisaie would share the findings of your scouting mission with everyone.
Meet the Tholls,Tristol knows people who may be able to assist in your search for ore.
A-Digging We Will Go,Xamott has ore on his mind.
The Duergar's Tewel,Korutt is eager to step into the relative safety of the cave.
Rich Veins of Hope,The Crystal Exarch has efficiency on his mind.
That None Shall Ever Again,Alphinaud is bound for Amity.
A Breath of Respite,Chai-Nuzz is looking not a little anxious.
Extinguishing the Last Light,"Judging by the portentous look in his eye, Chai-Nuzz has something important to tell you."
Reassuring the Masses,The manager of suites seems surprised to see you up and about.
In His Garden,Katliss looks at you with a concerned eye.
The Unbroken Thread,Lyna urges you to follow her.
To Storm-tossed Seas,Urianger is patiently awaiting word that you are ready to depart.
Waiting in the Depths,Thancred casts his gaze across the waterless expanse before you.
City of the Ancients,Y'shtola appears deep in thought.
The Light of Inspiration,Y'shtola seems eager to share your discoveries with the others.
The Illuminated Land,Grenoldt is brimming with newfound inspiration.
The End of a World,Alisaie is steeling herself for the task ahead.
A Greater Purpose,Alphinaud is awaiting the return of your other companions.
Shadowbringers,Alisaie appears to have made her decision.
Shaken Resolve,Tataru seems eager to make up for lost time.
A Grand Adventure,The Crystal Exarch would waste no time in seeking help for your stranded comrades.
A Welcome Guest,Alphinaud looks just about ready to leave you behind.
Good for the Soul,Beq Lugg is ready to speak of the metaphysical.
Nowhere to Turn,Kai-Shirr is anxious to see you and Alphinaud back to Eulmore.
A Notable Absence,"For all his comforting words, Alphinaud is plainly troubled by Master Chai's sudden disappearance."
For the People,"With furrowed brow, Alphinaud carefully considers where best to look next."
Finding Good Help,Chai-Nuzz's look of steely determination is only slightly undermined by the knocking of his knees.
Moving Forward,"Despite the butterflies in his stomach, Chai-Nuzz is prepared to address the masses."
"Vows of Virtue, Deeds of Cruelty","Alphinaud wears a satisfied smile, seemingly content with the state of Eulmore."
"Old Enemies, New Threats","Krile is glad for your return, though it remains to be seen if she has glad tidings to share."
The Way Home,"Krile can see the steely resolve in your eyes, and suspects she knows to where duty calls you."
Seeking Counsel,Alphinaud is eager to assist Captain Lyna.
Facing the Truth,"Her mind at ease, Lyna is ready to return to her duties."
A Sleep Disturbed,"With furrowed brow, the Crystal Exarch deliberates your next move."
An Old Friend,"By all rights you should be departing for the Crystarium, but Y'shtola does not seem ready to return."
Deep Designs,Y'shtola would have you depart for the Tempest without delay.
A Whale's Tale,"Urianger has a mind to call on an old, old friend."
Beneath the Surface,"Thus reminded of the urgency of your investigation, Urianger would press on."
Echoes of a Fallen Star,Urianger presumably has some idea as to what you might usefully do while Y'shtola pursues her investigations in Anamnesis Anyder.
In the Name of the Light,The manager of suites is looking a little anxious.
Heroic Dreams,Eirwel regards you expectantly.
Fraying Threads,Ryne's face is a picture of worry.
Food for the Soul,"Judging by her sheepish expression, Tataru has a favor to ask."
Faded Memories,Thancred is eager to get to work.
Etched in the Stars,A peculiar crystal lies on the Capitol's polished floor.
The Converging Light,Y'shtola gazes out into the distance.
Hope's Confluence,The Crystal Exarch is the very picture of resolve.
Nothing Unsaid,Y'shtola's eyes seem to be staring into your very soul.
The Journey Continues,"His business concluded, Alphinaud turns his attention to yours."
Unto the Morrow,Urianger regards you with a gentle smile.
Reflections in Crystal,"Her heart laid bare, Ryne appears to be at peace again."
Alisaie's Quest,Krile's eyes light up at the sight of you.
The Wisdom of Allag,G'raha Tia surveys his surroundings with an expectant glint in his eye.
Reviving the Legacy,G'raha Tia seems eager to bear the node away.
Forget Us Not,Alisaie has only one thing on her mind.
"Like Master, Like Pupil",The trace of a wry smile is visible on Y'shtola's lips.
The Admiral's Resolve,Alphinaud is eager to deliver the good tidings to Limsa Lominsa.
The Search for Sicard,Alphinaud has the look of a man with a plan.
On Rough Seas,Alphinaud is keen to report back to the Admiral.
The Great Ship Vylbrand,"For the first time in a long time, Merlwyb's course is clear."
Futures Rewritten,"Alphinaud's face is a picture, equal parts jubilation and relief."
Unto the Breach,"Alisaie is waiting patiently for the return of certain Scions─not least of all, you."
Here Be Dragons,Alphinaud is keen to track down Estinien.
Righteous Indignation,Estinien is ready to lead the way to Tiamat.
For Vengeance,The restrainment node stands poised to lend a hand...figuratively speaking.
The Flames of War,"With Lunar Bahamut bound for Paglth'an, G'raha Tia is determined to call upon the aid of your fellow Scions."
When the Dust Settles,Alphinaud is minded to share his account of the events that unfolded in Paglth'an with the sultana.
The Company We Keep,Alisaie can tell you are itching to take the fight to the Telophoroi.
On Official Business,Alphinaud is keen to hear what Alisaie and G'raha Tia have learned from the Braves who turned their back on the cause.
Death Unto Dawn,Kan-E-Senna seems determined not to let the disappointment of Sharlayan's rejection distract her from the task at hand.
The Next Ship to Sail,Alphinaud is feeling the need to take stock.
"Old Sharlayan, New to You",Krile sweeps the Scions with a speculative look.
Hitting the Books,Krile is intent on uncovering the reason behind the Forum's inexplicable behavior.
A Seat at the Last Stand,Alisaie appears in desperate need of a study break.
A Labyrinthine Descent,Alisaie is excited to share your revelations.
Glorified Ratcatcher,Krile appears lost in thought.
Deeper into the Maze,Alphinaud is gazing into the Archeion with an appraising look.
The Medial Circuit,Alisaie seems eager to get underway.
"The Full Report, Warts and All",Alisaie is not about to let Erenville out of her sight.
A Guide of Sorts,"Alisaie is staring off in the direction Erenville departed, a thoughtful look on her face."
Estate Visitor,Alisaie has a look of dissatisfaction.
For Thavnair Bound,Thancred is eager to set forth for Thavnair.
On Low Tide,"His stomach behaving once more, Thancred is ready to get to work."
A Fisherman's Friend,Matsya regards you nervously.
House of Divinities,"Judging by his furrowed brow, something important has occurred to Estinien."
The Great Work,Matsya has a shine in his eyes that wasn't there before.
Shadowed Footsteps,Nidhana regards you with those eyes you could drown in.
A Boy's Errand,Little does Nidhana know that she is about to send you on another errand.
Tipping the Scale,Zeynuha has a sack of giantsgall for you.
The Satrap of Radz-at-Han,Thancred is wearing a grim expression.
In the Dark of the Tower,Krile glances at you with expectant eyes.
The Jewel of Thavnair,Thancred is rested and ready to set out.
The Color of Joy,Alphinaud has a mind to join the others at the High Crucible.
"Sound the Bell, School's In",Krile and G'raha Tia were having a pleasant conversation until you barged in.
A Capital Idea,Krile is still digesting a rather hefty portion of food for thought.
Best of the Best,Maxima would have you meet your new traveling companions.
A Frosty Reception,Tataru is desperately trying to retain her composure as she prepares to see you off on another perilous journey.
Tracks in the Snow,"Emmanellain is, as usual, milling about aimlessly."
How the Mighty Are Fallen,Licinia's inner turmoil is writ plain on her face.
At the End of the Trail,Jareck is amenable to making a deal.
A Way Forward,"Alphinaud's resolve may be shaken, but he has not forgotten his duty."
The Last Bastion,Jullus knows only too well that danger lurks around every corner.
Personae non Gratae,"Jullus has his orders, unpleasant though they may be."
His Park Materials,Jullus finds himself in the somewhat bizarre position of leading ambassadors of an enemy contingent on a salvage mission.
No Good Deed,"Now that the fire has burned out, Jullus is ready to move on."
Alea Iacta Est,"Once again, Jullus has been entrusted with an unenviable task."
Strange Bedfellows,"With the immediate crisis averted, Lucia seeks to gain a clearer understanding of the present situation."
In from the Cold,Lucia has further news for you.
Gateway of the Gods,"Now that you've recovered, Lucia would have a word with you."
A Trip to the Moon,G'raha Tia is pondering the technological marvel you have just beheld.
Sea of Sorrow,The watcher would have you deal with the specters haunting the moon.
The Martyr,Something has raised the lustrous dog's hackles.
In Shadow's Wake,The watcher would discuss grave matters with you.
Helping Hands,"At long last, the watcher is ready to fulfill his final duty."
A Harey Situation,Thancred's dumbfounded expression suggests he is still struggling to comprehend the spectacle he has just witnessed.
A Taste of the Moon,"With the Final Days fast approaching, Livingway is keen to complete her preparations."
Styled a Hero,Livingway is eager to show you more of the moon's wonders.
All's Vale That Endsvale,Growingway is keen to put his recent mishap behind him.
Back to Old Tricks,"By now, Thancred can tell when his friends are up to something."
Setting Things Straight,Urianger is quite glad for your company.
Heart of the Matter,"Growingway is fidgeting with nervous energy, but is it from excitement or worry?"
Returning Home,"Your excursion on the moon concluded, Y'shtola is keen to return to Etheirys."
Skies Aflame,Tataru is furrowing her brow in consternation.
The Blasphemy Unmasked,"Ahewann's burden is heavy indeed, yet he need not bear it alone."
Amidst the Apocalypse,Mihleel has information that should serve you well.
Beyond the Depths of Despair,G'raha Tia is eager to share all you have learned with your companions.
That We Might Live,Alphinaud is determined to offer the villagers what succor he can.
When All Hope Seems Lost,Matsya cannot help but fear the worst.
"Warm Hearts, Rekindled Hopes",Alisaie is gazing out intently between the trees.
Simple Pleasures,"Estinien stands in silence, a grim expression on his face."
Under His Wing,Matsya is eyeing you as if there is something he wants to say.
At World's End,The Radiant Host soldier has a message for the Scions of the Seventh Dawn.
Return to the Crystarium,G'raha Tia has something he wishes to give you.
Hope Upon a Flower,Ryne wears a look of steely resolve.
Petalouda Hunt,Hythlodaeus is looking you up and down.
In Search of Hermes,Hythlodaeus is ready to continue on if you are.
