Character,Game,Words,Lines,Sentences
Thancred,Final Fantasy 14,690,58,85
Pragmatic Amaurotine,Final Fantasy 14,688,33,48
Teteroon,Final Fantasy 14,683,29,97
Hot-blooded Youth,Final Fantasy 14,680,33,66
The Magus Sisters,Final Fantasy 14,680,53,80
Synthetic Auracite System,Final Fantasy 14,671,41,74
Diligent Ranch Hand,Final Fantasy 14,670,46,90
Curious Lass,Final Fantasy 14,670,36,62
Vath Storyteller,Final Fantasy 14,667,23,58
Hasveydah,Final Fantasy 14,666,39,58
5th Cohort Decurion,Final Fantasy 14,660,38,71
Alamenain,Final Fantasy 14,658,26,63
Alliance Recruit,Final Fantasy 14,657,38,68
Arkil,Final Fantasy 14,656,38,64
Curtis,Final Fantasy 14,655,30,72
Azdaja,Final Fantasy 14,655,42,65
Patrick,Final Fantasy 14,653,26,50
Silent Conjurer,Final Fantasy 14,652,32,43
Imperial Guard,Final Fantasy 14,652,54,103
Lucia,Final Fantasy 14,652,36,53
Zurmurwur,Final Fantasy 14,648,38,57
Impassive Merchant,Final Fantasy 14,647,23,48
Riol,Final Fantasy 14,646,26,56
Pumpkin Pup,Final Fantasy 14,645,27,48
Quzal Huatotl the Shrieker,Final Fantasy 14,644,52,85
Ala Mhigan Malcontent,Final Fantasy 14,643,44,84
Taapu,Final Fantasy 14,642,52,72
Stalwart Temple Knight,Final Fantasy 14,641,46,65
Staelwyrn,Final Fantasy 14,639,25,44
Wawkesa,Final Fantasy 14,633,46,70
Hydaelyn,Final Fantasy 14,632,39,59
Unhurried Observer,Final Fantasy 14,631,39,71
Dubious Adventurer,Final Fantasy 14,629,28,50
Garuda,Final Fantasy 14,628,63,109
Edelstein,Final Fantasy 14,625,29,52
Ogling Voidsent,Final Fantasy 14,625,42,68
Wyd Lad,Final Fantasy 14,622,35,70
House Leveilleur Attendant,Final Fantasy 14,620,37,55
T'kebbe,Final Fantasy 14,619,41,62
Debt Collector,Final Fantasy 14,617,24,42
Salina,Final Fantasy 14,616,37,60
Troian Trapper,Final Fantasy 14,616,57,80
12th Legion Predator,Final Fantasy 14,613,41,77
Jemime,Final Fantasy 14,611,18,43
Mehrunnah,Final Fantasy 14,611,33,64
Grimold,Final Fantasy 14,610,36,64
Midnight Dew,Final Fantasy 14,606,32,66
Vira Battlemaid,Final Fantasy 14,606,32,57
Sir,Final Fantasy 14,605,39,64
Blauthota,Final Fantasy 14,602,21,41
Bold Bounty Hunter,Final Fantasy 14,602,26,61
Serpent Officer,Final Fantasy 14,601,25,48
Galfrid,Final Fantasy 14,600,25,51
Magnai,Final Fantasy 14,598,31,67
Sylvan Budnapper,Final Fantasy 14,596,33,74
Wood Wailer,Final Fantasy 14,593,22,43
Eynzahr Slafyrsyn,Final Fantasy 14,591,27,47
Myrcant,Final Fantasy 14,591,35,58
Bismarck,Final Fantasy 14,590,43,69
Vow of Reason Gulool Ja Ja,Final Fantasy 14,590,37,60
Peripeteia Archivist,Final Fantasy 14,589,35,51
Naoki Yoshida,Final Fantasy 14,586,26,41
Thacred,Final Fantasy 14,582,45,64
Seseroga,Final Fantasy 14,581,25,57
Wyd Aenc,Final Fantasy 14,581,30,56
Radiant Host Soldier,Final Fantasy 14,579,25,48
NOAH,Final Fantasy 14,578,30,55
Gukumatz,Final Fantasy 14,578,97,102
Pfrewahl,Final Fantasy 14,574,25,48
Nashreen,Final Fantasy 14,574,29,66
Tempered Imperial,Final Fantasy 14,574,36,61
R'majha,Final Fantasy 14,574,23,52
Garibald the Fargone,Final Fantasy 14,573,39,61
Baderon,Final Fantasy 14,572,22,42
Lorelei,Final Fantasy 14,572,30,51
Kaahe,Final Fantasy 14,572,34,55
Gruff Voice,Final Fantasy 14,570,27,55
Ophilyne,Final Fantasy 14,570,32,45
Tsuranuki,Final Fantasy 14,569,30,79
Garuda-like Being,Final Fantasy 14,569,44,81
Captive,Final Fantasy 14,568,31,59
Maisenta,Final Fantasy 14,567,37,64
Vorporlor,Final Fantasy 14,565,47,67
Flustered Citizen,Final Fantasy 14,565,38,60
Leofric,Final Fantasy 14,563,28,54
Preoccupied Petticoat,Final Fantasy 14,563,24,39
Hyllfyr,Final Fantasy 14,561,27,54
Blunderville Beankeep,Final Fantasy 14,561,17,38
Crystal Brave Archer,Final Fantasy 14,560,37,74
4th Platoon Soldier,Final Fantasy 14,559,33,59
Panicked Sailor,Final Fantasy 14,559,40,62
Ursandel,Final Fantasy 14,555,20,42
Bragi,Final Fantasy 14,555,25,49
Hoobigo Lancer,Final Fantasy 14,555,35,52
Gaius,Final Fantasy 14,553,36,55
Rosa Hawthorne,Final Fantasy 14,552,16,41
Othuel,Final Fantasy 14,551,38,64
Otelin,Final Fantasy 14,547,20,45
Panicked Villager,Final Fantasy 14,547,34,68
Fyrilsmyd,Final Fantasy 14,544,13,28
Oroniri Spearson,Final Fantasy 14,544,26,46
Ersabel,Final Fantasy 14,543,29,44
R'ashaht Rhiki,Final Fantasy 14,541,26,49
Approachable Pelu,Final Fantasy 14,539,29,45
Kipih Jakkya,Final Fantasy 14,536,17,39
Sicard,Final Fantasy 14,535,27,53
Parsemontret,Final Fantasy 14,534,20,37
Ihanashi,Final Fantasy 14,534,24,53
Prunilla,Final Fantasy 14,533,15,43
Mother Miounne,Final Fantasy 14,531,21,41
Marn Ose,Final Fantasy 14,530,25,59
Alpha,Final Fantasy 14,530,18,31
Cassard,Final Fantasy 14,529,26,46
Coeurlclaw Hunter,Final Fantasy 14,528,19,52
Band of Bandits,Final Fantasy 14,528,34,55
Ardent Attendant,Final Fantasy 14,527,24,48
Animated Citizen,Final Fantasy 14,527,29,49
Doware,Final Fantasy 14,526,39,64
Galene,Final Fantasy 14,525,34,54
Grove Worker,Final Fantasy 14,525,41,62
Spectral Swordsman,Final Fantasy 14,524,40,61
Montichaigne,Final Fantasy 14,522,29,44
Nourval's Letter,Final Fantasy 14,520,23,56
Katherine,Final Fantasy 14,517,23,46
Raganfrid,Final Fantasy 14,517,28,57
Convictor Knight,Final Fantasy 14,517,28,48
Kokosamu,Final Fantasy 14,516,28,43
Dustwatch Officer,Final Fantasy 14,516,42,66
Shinobi,Final Fantasy 14,512,26,48
The Endsinger,Final Fantasy 14,512,64,96
Nahbdeen,Final Fantasy 14,511,26,46
Long-forgotten Essence,Final Fantasy 14,510,35,50
Iyaate,Final Fantasy 14,510,45,72
Trachtoum,Final Fantasy 14,508,25,48
Baatu,Final Fantasy 14,507,28,58
Ondo Guide,Final Fantasy 14,507,29,46
Royal Seneschal,Final Fantasy 14,507,19,37
???,Final Fantasy 14,506,27,46
Momodi,Final Fantasy 14,506,25,46
Emmanellain,Final Fantasy 14,505,19,36
Tiamat,Final Fantasy 14,505,32,45
Torgal,Final Fantasy 14,503,47,55
Short-tempered Thaumaturge,Final Fantasy 14,502,28,59
Neophyte Adventurer,Final Fantasy 14,502,25,40
Moglin,Final Fantasy 14,501,22,43
Moren,Final Fantasy 14,501,21,42
Zanthael,Final Fantasy 14,500,30,39
Rhon Ron,Final Fantasy 14,500,32,68
Convocation Member,Final Fantasy 14,500,36,68
Woman of Palaka,Final Fantasy 14,500,62,84
Troubled Researcher,Final Fantasy 14,499,28,41
Crystal Braves,Final Fantasy 14,498,27,54
Laniaitte,Final Fantasy 14,497,18,41
Gallant Guardsman,Final Fantasy 14,497,47,61
Nohi,Final Fantasy 14,497,16,38
Erenville,Final Fantasy 14,494,22,45
Letter with a Blue Chocobo Drawing,Final Fantasy 14,494,24,46
Isembard,Final Fantasy 14,493,19,42
Sarisha,Final Fantasy 14,493,21,42
Bloody Executioner,Final Fantasy 14,493,31,54
Charline,Final Fantasy 14,491,16,43
Loythe,Final Fantasy 14,491,21,39
Licinia,Final Fantasy 14,490,38,70
Eulmoran Soldier,Final Fantasy 14,489,69,97
Urianger,Final Fantasy 14,488,33,42
Expedition Leader,Final Fantasy 14,488,17,32
Good-natured Stableman,Final Fantasy 14,488,29,46
Louis,Final Fantasy 14,486,20,41
Patrounade,Final Fantasy 14,485,40,84
Vorsaile Heuloix,Final Fantasy 14,482,21,39
Merlwyb,Final Fantasy 14,480,23,37
Gegeruju,Final Fantasy 14,480,20,38
Theodore,Final Fantasy 14,479,17,34
Meso Terminal,Final Fantasy 14,479,43,69
Zurferlar,Final Fantasy 14,478,23,43
Aldemund,Final Fantasy 14,478,18,39
Arch of the Dawn Sentry,Final Fantasy 14,477,33,49
Atharn,Final Fantasy 14,476,26,47
Asahi's Father,Final Fantasy 14,473,29,49
Dutiful Spirit,Final Fantasy 14,472,41,65
Yayazuku,Final Fantasy 14,471,18,41
Vow of Resolve Gulool Ja Ja,Final Fantasy 14,471,37,50
Tense Temple Knight,Final Fantasy 14,470,23,47
Marcelain,Final Fantasy 14,469,21,41
Voracious Vath,Final Fantasy 14,467,17,34
Playful Voice,Final Fantasy 14,465,37,76
Mechanical Guide,Final Fantasy 14,465,29,48
Byrglaent,Final Fantasy 14,464,18,37
Radiant Soldier,Final Fantasy 14,462,34,58
Gilow,Final Fantasy 14,460,20,41
Ume,Final Fantasy 14,459,22,50
Fufucha,Final Fantasy 14,456,21,40
Katliss,Final Fantasy 14,455,17,31
Eline Roaille,Final Fantasy 14,454,23,40
Siren,Final Fantasy 14,454,24,52
Zero,Final Fantasy 14,454,27,38
Imperial Tribunus Militum,Final Fantasy 14,453,26,42
Alexandrian Signaler,Final Fantasy 14,453,67,87
Asahi,Final Fantasy 14,452,25,41
Yarjorzur,Final Fantasy 14,452,24,38
Gerraldieux,Final Fantasy 14,451,25,45
Ysaudore,Final Fantasy 14,449,20,41
Cenota,Final Fantasy 14,447,20,38
Emilie,Final Fantasy 14,447,22,41
Puro Roggo the Unwashed,Final Fantasy 14,446,32,48
Ayoyo,Final Fantasy 14,444,14,30
Startled Botanist,Final Fantasy 14,444,20,41
Great Gourd,Final Fantasy 14,444,21,32
Sonu Vanu,Final Fantasy 14,441,20,38
Harried Aetherologist,Final Fantasy 14,439,29,48
Troian Gaoler,Final Fantasy 14,439,44,68
Haurchefant of the Silver Fuller,Final Fantasy 14,438,27,46
Serpent Commander Heuloix,Final Fantasy 14,438,17,38
Confederate Skipper,Final Fantasy 14,437,26,44
Blessed Watchman,Final Fantasy 14,430,32,45
Wuk Evu,Final Fantasy 14,430,34,52
Kemakka,Final Fantasy 14,430,27,42
Robed Giant,Final Fantasy 14,429,29,42
Zodiark,Final Fantasy 14,427,44,64
Absorbed Girl,Final Fantasy 14,423,29,51
Pierremons,Final Fantasy 14,422,20,44
Pumpkin-headed Apparition,Final Fantasy 14,422,11,34
Amalj'aa War Chief,Final Fantasy 14,421,31,51
Nanamo Ul Namo,Final Fantasy 14,420,27,43
Ourcen,Final Fantasy 14,420,14,40
Outspoken Councilor,Final Fantasy 14,420,21,28
Zanuhali,Final Fantasy 14,417,26,41
Amiable Pelu,Final Fantasy 14,415,24,38
Imedia,Final Fantasy 14,413,15,43
Matsya,Final Fantasy 14,413,26,40
M'hahtoa,Final Fantasy 14,411,21,40
Temple Herald,Final Fantasy 14,410,22,42
Manic Madame,Final Fantasy 14,409,20,35
Haermaga,Final Fantasy 14,409,12,26
1st Maniple Centurion,Final Fantasy 14,408,24,42
Rasho,Final Fantasy 14,408,19,38
Watery Voice,Final Fantasy 14,408,20,40
Red Marine,Final Fantasy 14,407,29,61
Yayake,Final Fantasy 14,406,14,29
Komuxio,Final Fantasy 14,406,19,48
Ancient Spirit,Final Fantasy 14,406,34,53
Shoebill,Final Fantasy 14,406,30,63
Reyner,Final Fantasy 14,405,18,35
Discomposed Cataloger,Final Fantasy 14,403,13,31
Isse,Final Fantasy 14,403,21,46
Tolshs Aath,Final Fantasy 14,402,24,38
Hester,Final Fantasy 14,401,22,29
Potted Voidsent,Final Fantasy 14,401,23,43
Nuhadeen,Final Fantasy 14,400,16,32
Asyle Volcane Guard,Final Fantasy 14,400,32,54
Alexandrian Knight,Final Fantasy 14,399,63,72
Gallien,Final Fantasy 14,398,18,38
Mowen,Final Fantasy 14,397,11,27
Memnon,Final Fantasy 14,397,26,51
Isu,Final Fantasy 14,397,18,40
Thewy Youth,Final Fantasy 14,396,18,43
Feo Ul,Final Fantasy 14,396,22,42
Leodaire,Final Fantasy 14,395,16,37
Asgeir,Final Fantasy 14,395,27,43
Lisette de Valentione,Final Fantasy 14,393,20,39
Trembling Temple Knight,Final Fantasy 14,392,20,30
House Fortemps Knight,Final Fantasy 14,386,20,39
Parigha,Final Fantasy 14,386,18,39
Zereel Ja,Final Fantasy 14,386,29,54
Young Nhagi,Final Fantasy 14,383,18,34
Ahtbyrm,Final Fantasy 14,382,11,24
Scions,Final Fantasy 14,382,25,31
Gossan,Final Fantasy 14,382,25,37
Anonymous Letter,Final Fantasy 14,382,14,31
Durim Falurim,Final Fantasy 14,381,13,25
Nonchalant Dwarf,Final Fantasy 14,381,21,41
Pauline,Final Fantasy 14,378,12,26
Qih Aliapoh,Final Fantasy 14,378,14,37
Patient Gravekeeper,Final Fantasy 14,378,22,33
Coultenet,Final Fantasy 14,377,25,50
Ys Gyuf,Final Fantasy 14,377,20,37
Athelyna,Final Fantasy 14,376,12,22
Aspiring Amaro Tamer,Final Fantasy 14,375,19,29
Seasoned Observer,Final Fantasy 14,375,29,52
Hathenbet,Final Fantasy 14,374,18,34
Sevrin,Final Fantasy 14,373,17,39
Unnerved Knight,Final Fantasy 14,373,11,26
Shar,Final Fantasy 14,373,21,50
Elderly Citizen,Final Fantasy 14,373,24,34
Whei Fehsk,Final Fantasy 14,373,21,41
Disreputable Pirate,Final Fantasy 14,371,14,28
Landenel,Final Fantasy 14,371,18,35
Jehantel,Final Fantasy 14,371,13,30
Sibly,Final Fantasy 14,371,18,34
The Black Eft,Final Fantasy 14,369,27,50
Bol Noq',Final Fantasy 14,369,23,37
Gigimolu,Final Fantasy 14,368,23,37
Louistiaux of the First Line,Final Fantasy 14,367,17,30
Master of Shofuku Shichiten,Final Fantasy 14,366,12,36
Concerned Researcher,Final Fantasy 14,366,46,55
Mead-soaked Midlander,Final Fantasy 14,365,12,30
Loghrif,Final Fantasy 14,365,21,50
Qiqirn Bandit,Final Fantasy 14,364,24,50
Chai-Nuzz,Final Fantasy 14,364,19,34
Otis Oathmender,Final Fantasy 14,364,50,65
Xande,Final Fantasy 14,363,27,40
Lonu Vanu,Final Fantasy 14,363,32,62
Xamott,Final Fantasy 14,362,25,41
Frightened Coeurl,Final Fantasy 14,361,15,28
Haurchefant,Final Fantasy 14,359,13,24
Kai-Shirr,Final Fantasy 14,359,27,39
Frail Voice,Final Fantasy 14,359,15,30
Amicable Alleygoer,Final Fantasy 14,357,11,24
Sunbaked Stablekeep,Final Fantasy 14,356,23,39
Anagnorisis Observer,Final Fantasy 14,355,23,38
Diligent Mol Warrior,Final Fantasy 14,354,22,40
Gnaeus,Final Fantasy 14,352,17,30
Alphinaud,Final Fantasy 14,351,17,26
Chessamile,Final Fantasy 14,351,15,37
Oul Sigun,Final Fantasy 14,351,22,35
Crystarium Guard,Final Fantasy 14,351,51,61
Kiluwsa,Final Fantasy 14,351,26,42
Accomplished Adventurer,Final Fantasy 14,350,14,24
Drunken Stag,Final Fantasy 14,349,14,32
Abelie,Final Fantasy 14,344,15,34
Sibly's Father,Final Fantasy 14,343,15,32
Monranguin,Final Fantasy 14,342,10,23
Bronze-skinned Beauty,Final Fantasy 14,342,14,32
Masgud,Final Fantasy 14,342,23,43
Heretic Mage,Final Fantasy 14,340,13,25
Elderly Man of Palaka,Final Fantasy 14,339,25,46
Ardent Scout,Final Fantasy 14,338,19,35
Spooked Youth,Final Fantasy 14,338,15,27
Information Terminal,Final Fantasy 14,338,35,45
Endless Sphene,Final Fantasy 14,336,29,44
Disappointed Artisan,Final Fantasy 14,335,19,33
Archeion Custodian,Final Fantasy 14,334,18,34
Arkasodara Man,Final Fantasy 14,334,22,31
Endless Erastus,Final Fantasy 14,334,27,42
Coeurlclaw Trapper,Final Fantasy 14,334,23,35
Terrified Refugee,Final Fantasy 14,332,11,26
Sleepingway,Final Fantasy 14,332,21,43
Y'mhitra,Final Fantasy 14,331,21,38
Mimidoa,Final Fantasy 14,330,12,32
Swozblaet,Final Fantasy 14,326,11,21
Aethelmaer,Final Fantasy 14,326,13,31
Ascian Prime,Final Fantasy 14,325,25,37
Attentive Radiant,Final Fantasy 14,325,15,30
Imperial Pilus Prior,Final Fantasy 14,324,33,42
Cracked Fist,Final Fantasy 14,324,11,22
Laurentius,Final Fantasy 14,323,14,55
Griseldis,Final Fantasy 14,322,13,29
Kotokaze,Final Fantasy 14,321,14,36
Slafborn,Final Fantasy 14,318,19,30
Khuteeyu,Final Fantasy 14,316,15,27
Ryu Metsuke,Final Fantasy 14,315,12,19
Warin,Final Fantasy 14,314,14,24
Redwald,Final Fantasy 14,314,15,29
Reconnaissance Party Knight,Final Fantasy 14,314,15,31
Liwine,Final Fantasy 14,314,20,30
Yeruvvet,Final Fantasy 14,313,15,25
Fordola rem Lupis,Final Fantasy 14,312,37,57
Idle Yellowjacket,Final Fantasy 14,312,20,35
E-Sumi-Yan,Final Fantasy 14,311,10,22
Bitter Knight,Final Fantasy 14,311,14,43
Spy's Voice,Final Fantasy 14,311,27,40
Storm Officer,Final Fantasy 14,310,13,23
Cravellin,Final Fantasy 14,310,11,27
Garibald,Final Fantasy 14,308,19,38
Crated Specimen,Final Fantasy 14,308,23,33
Tsubh Khamazom,Final Fantasy 14,307,14,29
Starveling Child,Final Fantasy 14,307,16,34
Papashan,Final Fantasy 14,306,13,24
Stern Sultansworn,Final Fantasy 14,305,17,34
Riled Youth,Final Fantasy 14,305,14,29
Ligeia ,Final Fantasy 14,305,15,24
Owyne,Final Fantasy 14,304,15,25
King Gobtank G-IV,Final Fantasy 14,304,25,37
Nitowikwe,Final Fantasy 14,304,18,27
Overseer Kanilokka,Final Fantasy 14,303,45,51
Marielle,Final Fantasy 14,301,12,22
Hourlinet,Final Fantasy 14,300,12,23
Yesterland Guard,Final Fantasy 14,300,21,31
Teledji Adeledji's Manservant,Final Fantasy 14,298,18,32
Wandering Minstrel,Final Fantasy 14,298,13,24
Magitek Slasher,Final Fantasy 14,297,30,32
Shetona Bandit,Final Fantasy 14,297,29,42
Wiscar,Final Fantasy 14,296,12,27
Masked Man,Final Fantasy 14,296,15,27
Victor,Final Fantasy 14,295,15,41
Khanswys,Final Fantasy 14,294,10,22
Waylaid Peddler,Final Fantasy 14,294,16,28
Doman Watch,Final Fantasy 14,293,22,30
Panicked Caregiver,Final Fantasy 14,292,29,42
J'nasshym,Final Fantasy 14,291,13,27
Merchant's Son,Final Fantasy 14,291,27,47
Amiable Voidsent,Final Fantasy 14,290,21,36
Isadora,Final Fantasy 14,289,22,38
Heretic,Final Fantasy 14,288,14,31
Nawashiro,Final Fantasy 14,288,14,25
Oblivion Member,Final Fantasy 14,288,36,53
Ragged Refugee,Final Fantasy 14,287,15,28
Gyoku,Final Fantasy 14,287,12,33
Todden,Final Fantasy 14,286,22,38
Gobwatch,Final Fantasy 14,285,16,26
Livingway,Final Fantasy 14,285,18,32
Playful Hhetsarro,Final Fantasy 14,285,9,21
Sadu,Final Fantasy 14,284,18,39
Shetona Youth,Final Fantasy 14,284,17,33
Zuzumeda,Final Fantasy 14,283,9,21
Mahti,Final Fantasy 14,282,13,26
Avid Attendant,Final Fantasy 14,282,13,26
Thierremont,Final Fantasy 14,281,13,23
Francel,Final Fantasy 14,280,10,26
Tribuni,Final Fantasy 14,280,10,17
Blue Skiff Captain,Final Fantasy 14,280,30,36
Concerned Citizen,Final Fantasy 14,279,16,24
Drillemont,Final Fantasy 14,278,14,24
Davyd,Final Fantasy 14,278,9,19
Ephemie,Final Fantasy 14,278,11,25
Glaumunt,Final Fantasy 14,277,10,24
Imperial Elite,Final Fantasy 14,277,23,46
Masha Mhakaracca,Final Fantasy 14,277,24,32
Beatin,Final Fantasy 14,276,12,22
Endless Cahciua,Final Fantasy 14,275,38,51
Black-masked Ascian,Final Fantasy 14,274,18,26
3rd Unit Brave,Final Fantasy 14,274,12,28
Poor-heeled Youth,Final Fantasy 14,274,7,22
Kuplo Kopp,Final Fantasy 14,271,29,43
Hilda,Final Fantasy 14,271,16,29
Rothe,Final Fantasy 14,270,9,21
Maxio,Final Fantasy 14,269,13,25
Ghen Gen,Final Fantasy 14,269,14,26
"Aenc Thon, Lord of the Lingering Gaze",Final Fantasy 14,268,36,54
Damielliot,Final Fantasy 14,267,19,41
The Story of Sharlayan,Final Fantasy 14,267,9,13
Alka Zolka the Supreme Slayer,Final Fantasy 14,267,35,39
Mamool Ja Landsguard,Final Fantasy 14,267,23,33
Xbr'aal Onlooker,Final Fantasy 14,264,17,25
Shamani Lohmani,Final Fantasy 14,263,11,23
Harmachis,Final Fantasy 14,263,39,44
Skaenrael,Final Fantasy 14,263,10,19
Faramund,Final Fantasy 14,262,12,29
Apathetic Porter,Final Fantasy 14,262,10,24
Elaisse,Final Fantasy 14,261,14,21
Mahuwsa,Final Fantasy 14,260,14,26
Hierytha,Final Fantasy 14,259,10,26
Gatetown Resident,Final Fantasy 14,259,12,19
Armelle,Final Fantasy 14,258,9,20
Red Jongleur,Final Fantasy 14,258,14,25
Ethelia,Final Fantasy 14,258,9,17
Gatetown Residents,Final Fantasy 14,257,13,23
Barnabas,Final Fantasy 14,257,37,40
Zeytahnur,Final Fantasy 14,257,11,20
Emeline Ironheart,Final Fantasy 14,257,15,23
Fond Hhetsarro,Final Fantasy 14,257,8,25
Bardam,Final Fantasy 14,256,24,31
Twin Adders Delegate,Final Fantasy 14,256,16,27
Daring Diner,Final Fantasy 14,255,19,32
Kajika,Final Fantasy 14,254,10,22
Lamberteint,Final Fantasy 14,253,7,21
Origenics Security,Final Fantasy 14,253,14,23
Rhulmeira,Final Fantasy 14,252,10,20
Goblin Pathfinder,Final Fantasy 14,251,22,40
Sareel Ja,Final Fantasy 14,251,15,26
H'naanza,Final Fantasy 14,250,8,16
Painted Mesa,Final Fantasy 14,250,8,20
Sark Malark,Final Fantasy 14,250,11,17
Saint Coinach Ferryman,Final Fantasy 14,250,26,40
Lines in the Sand: The Geopolitics of Hydaelyn,Final Fantasy 14,250,8,14
Irvithe,Final Fantasy 14,249,8,21
Quevain,Final Fantasy 14,249,8,17
Landsguard Gate Sentry,Final Fantasy 14,248,16,26
Claxio,Final Fantasy 14,247,12,33
Alisaie and Krile,Final Fantasy 14,247,12,20
Console,Final Fantasy 14,246,28,43
Unsettled Sellsword,Final Fantasy 14,246,12,26
Ale-sipping Sailor,Final Fantasy 14,246,8,20
Astrid,Final Fantasy 14,246,10,20
Established Astrologian,Final Fantasy 14,245,8,17
Renovating Resident,Final Fantasy 14,244,11,20
Principles of Blue Magic and Spell Acquisition,Final Fantasy 14,242,7,11
Remumu,Final Fantasy 14,242,7,20
Honoroit,Final Fantasy 14,241,10,18
Distressed Refugee,Final Fantasy 14,241,34,42
Marcquelort,Final Fantasy 14,241,8,15
Trachtoum Parter of Seas,Final Fantasy 14,240,13,29
Inquisition Guard,Final Fantasy 14,240,13,23
Swarthy Sailor,Final Fantasy 14,240,16,26
Serpent Lieutenant,Final Fantasy 14,239,14,32
Registration Officer,Final Fantasy 14,239,20,31
Vortefaurt,Final Fantasy 14,238,7,17
Y'shtola,Final Fantasy 14,237,19,21
Theopauldin,Final Fantasy 14,237,15,25
Azahma,Final Fantasy 14,237,10,18
Solemn Soldier,Final Fantasy 14,237,10,16
Vesper Bay Resident,Final Fantasy 14,234,12,24
An Introduction to the Heavens,Final Fantasy 14,234,8,14
Brume Rat,Final Fantasy 14,233,9,20
Keitha,Final Fantasy 14,232,9,17
Gyodo,Final Fantasy 14,232,12,31
Jubilant Loporrit,Final Fantasy 14,231,20,37
Saulinne,Final Fantasy 14,231,15,27
Iliud,Final Fantasy 14,230,12,21
Immigration Officer,Final Fantasy 14,229,13,20
Portelaine,Final Fantasy 14,228,6,15
Brass Blade,Final Fantasy 14,227,18,35
Hughoc,Final Fantasy 14,227,7,22
Boisterous Pixie,Final Fantasy 14,227,15,30
Restless Loporrit,Final Fantasy 14,227,17,33
Primal Disquisitions,Final Fantasy 14,227,6,14
Amh Garanjy,Final Fantasy 14,226,12,21
Petrified Pauper,Final Fantasy 14,225,8,20
M-032,Final Fantasy 14,225,16,22
Resistance Guard,Final Fantasy 14,224,14,27
Sweaty Guest,Final Fantasy 14,224,11,24
Tristechambel,Final Fantasy 14,223,12,20
Haustefort,Final Fantasy 14,222,6,18
Echoing Voice,Final Fantasy 14,222,18,26
Hihibaru,Final Fantasy 14,221,7,19
Nenebaru,Final Fantasy 14,220,8,16
Confederate Recruit,Final Fantasy 14,220,10,20
Water Imp?,Final Fantasy 14,220,10,20
Distressed Damsel,Final Fantasy 14,220,11,20
Alza Gamilza,Final Fantasy 14,219,6,15
Miqo'te Man,Final Fantasy 14,219,8,18
Liavinne,Final Fantasy 14,218,10,16
Khalzahl,Final Fantasy 14,218,15,28
Ill-at-ease Imperial,Final Fantasy 14,217,12,25
Roads of Old,Final Fantasy 14,217,9,8
Zazawaka,Final Fantasy 14,216,7,20
Bartholomew,Final Fantasy 14,215,15,26
Buscarron,Final Fantasy 14,215,8,17
Clamorous Node,Final Fantasy 14,215,10,22
Medrod,Final Fantasy 14,214,8,17
Immortal Flames Pilot,Final Fantasy 14,214,11,17
Ahtzapfyn,Final Fantasy 14,213,12,28
Imperial Soldier,Final Fantasy 14,213,12,29
Seto,Final Fantasy 14,213,16,21
Primus,Final Fantasy 14,213,14,22
The Flora and Fauna of Tural,Final Fantasy 14,213,8,13
Joellaut,Final Fantasy 14,212,5,15
Bloeidin,Final Fantasy 14,212,11,17
Snooping Voidsent,Final Fantasy 14,212,16,24
Short-haired Hhetsarro,Final Fantasy 14,212,18,25
Bol Wuruq,Final Fantasy 14,212,9,21
Cookingway,Final Fantasy 14,211,11,18
Flame Personnel Officer,Final Fantasy 14,210,14,29
Magitek Reaper,Final Fantasy 14,210,18,32
Beefy Businessman,Final Fantasy 14,210,13,24
Flame Lieutenant,Final Fantasy 14,209,14,27
Flustered Woman,Final Fantasy 14,209,12,23
Mayaru Moyaru,Final Fantasy 14,209,6,13
Wyrkrhit,Final Fantasy 14,208,8,13
Guillaime,Final Fantasy 14,208,6,19
Dellexia,Final Fantasy 14,207,7,20
Titan,Final Fantasy 14,207,19,30
Miyama,Final Fantasy 14,207,10,19
Caregiving Resident,Final Fantasy 14,207,12,20
Guide to Ktisis Hyperboreia,Final Fantasy 14,206,19,21
Mablu,Final Fantasy 14,206,11,22
Immaculate Healer,Final Fantasy 14,206,48,53
Dadanen,Final Fantasy 14,205,8,17
Chocobokeep,Final Fantasy 14,205,8,16
Watchful Radiant,Final Fantasy 14,205,8,16
Head of Reason,Final Fantasy 14,205,57,61
Lewin,Final Fantasy 14,204,12,21
Higiri,Final Fantasy 14,204,9,15
Fufulupa,Final Fantasy 14,203,8,16
Estinien Wyrmblood,Final Fantasy 14,203,34,44
Seasick Doman Recruit,Final Fantasy 14,203,8,17
Zhun Zun,Final Fantasy 14,203,16,32
Talebot,Final Fantasy 14,202,6,16
Ceana,Final Fantasy 14,202,7,13
Brassbound Wood Wailer,Final Fantasy 14,202,7,24
Jantellot,Final Fantasy 14,201,13,24
Broomsy,Final Fantasy 14,200,7,17
Rahdvira,Final Fantasy 14,200,9,23
Cornered Expeditioner,Final Fantasy 14,199,9,22
Earnest Adventurer,Final Fantasy 14,199,42,45
Sundhimal,Final Fantasy 14,198,8,13
Grynewyda,Final Fantasy 14,198,8,14
Seasoned Adventurer,Final Fantasy 14,197,6,13
Cotan,Final Fantasy 14,197,7,22
Haunted Elder,Final Fantasy 14,197,9,22
Jihli Aliapoh,Final Fantasy 14,197,7,14
Bran,Final Fantasy 14,197,8,16
